restaurant_id, cuisine_type
208, Fast Foo
209,American
209, Burgers
209, Sandwic
210,Desserts
210, Ice Cream + Frozen Yogurt
210, Japanese sweets
210, Juice and Smoothies
210, Vegetarian Friendl
211,Burgers
211, American
211, Sandwiches
211, Salads
211, Healthy
211, Pizza
211, Vegetarian Friendl
212,Desserts
212, Comfort Food
212, Kids Friendly
212, Exclusive to Eat
213,Pizza
213, American
213, Italian
213, Family Friendl
214,American
214, Vegetarian Friendl
215,Bakery
215, Breakfast and Brunch
215, Cafe
215, Coffee &amp; Tea
215, Group Friendl
216,Asian
216, Asian Cuisine
216, Family Friendl
217,Thai
217, Asian
217, Noodles
217, Family Friendly
217, Group Friendl
218,Pizza
218, American
218, Italian
218, Allergy Friendl
219,American
219, New American
219, Wings
219, Burgers
219, Burgers
219, Chicken
219, Steak
219, Seafood
219, Sandwich
219, Sandwiches
219, Salads
219, Salads
219, Tacos
219, Tacos
219, Bar Food
219, Vegetarian Friendly
219, Kids Friendly
219, Family Friendl
220,Burgers
220, American
220, Sandwiches
220, Steak
220, Seafood
220, Salads
220, BBQ
220, Healthy
220, Family Friendl
221,BBQ
221, Burgers
221, Salads
221, Healthy
221, Family Friendl
222,American
222, Sandwich
222, Fast Food
222, Kids Friendl
223,Sushi
223, Asian
223, Japanese
223, Burgers
223, Salads
223, Desserts
223, Healthy
223, Family Meals
223, Family Friendl
224,Chinese
224, Asian
224, Family Friendly
224, Exclusive to Eats
224, Group Friendl
225,Fried Chicken
225, Sandwiches
225, Southern
225, Alcoho
226,American
226, Burgers
226, Sandwich
226, Alcoho
227,Breakfast and Brunch
227, American
227, Comfort Food
227, Alcoho
228,American
228, Sandwiches
228, Cheesesteak
228, Alcoho
229,Breakfast and Brunch
229, American
229, Sandwich
229, Alcoho
230,Bakery
230, Breakfast and Brunch
230, Cafe
230, Coffee &amp; Te
231,American
231, Health
232,Seafood
232, Comfort Food
232, Caju
233,American
233, Juice and Smoothies
233, Sandwic
234,Fast Food
234, Sandwich
234, America
235,Salads
235, American
235, Vegetarian
235, Health
236,Juice and Smoothies
236, Bowls
236, Gluten Fre
237,Burgers
237, American
237, Sandwiche
238,Pizza
238, American
238, Italia
239,American
239, Burgers
239, Sandwich
239, Seafood
239, Fish and Chips
239, Desserts
239, Fast Food
239, Bar Foo
240,American
240, Fried Chicke
241,Sandwich
241, Family Meal
242,American
242, Fast Food
242, wings
242, Family Meal
243,Comfort Food
243, American
243, Wing
244,American
244, Wings
244, Bar Food
244, Chicken
244, Burger
245,Mexican
245, Latin American
245, Comfort Foo
246,Sushi
246, Rolls
246, Comfort Foo
247,Burgers
247, American
247, Sandwiches
247, Family Meal
248,American
248, Chicken
248, Family Meals
248, Fried Chicken
248, Comfort Foo
249,American
249, Bar Food
249, BBQ
249, burger
249, Chicken Strips
249, Comfort Food
249, Dinner
249, pasta
249, salad
249, Sandwich
249, Soup
249, Steak
249, Traditional American
249, wings
249, Family Meal
250,Fast Food
250, Italian
250, pizza
250, wing
251,Fast Food
251, American
251, Burger
252,Pizza
252, Wings
252, Sandwiches
252, Desserts
252, American
252, Traditional American
252, Fast Foo
253,Burritos
253, Fast Food
253, Mexica
254,Pharmacy
254, Convenience
254, Everyday Essentials
254, Bab
255,Fast Food
255, Chicken
255, Wing
256,Chicken
256, Fast Food
256, American
256, Comfort Food
256, Diner
256, Wing
257,Bubble Tea
257, Juice and Smoothies
257, Bubble Te
258,Halal
258, Chicken
258, Middle Easter
259,Ice Cream &amp; Frozen Yogurt
259, Dessert
260,Healthy
260, Sandwich
260, Sou
261,Black-owned
261, Dessert
262,American
262, Bar Food
262, Wings
262, Fast Food
262, Chicken
262, Family Meals
262, Exclusive to Eats
262, Comfort Foo
263,Dessert: Other
263, Ice Cream + Frozen Yogur
264,Indian
264, Vegetarian
264, Pakistani
264, Indian Curry
264, Vega
265,Drinks
265, Turkis
266,American
266, Burgers
266, Fast Foo
267,Chicken
267, Wings
267, Sandwiches
267, Comfort Food
267, Family Meal
268,Comfort Food
268, American
268, Wings
268, Family Meal
269,Comfort Food
269, American
269, Wing
270,BBQ
270, Sandwich
270, Salad
271,Indian
271, Vegetarian
271, Pakistani
271, Indian Curry
271, Health
272,Sandwich
272, Family Meal
273,Fast Food
273, Chicken
273, America
274,American
274, Steak
274, Sandwiche
275,BBQ
275, American
275, Burger
276,American
276, Bar Food
276, BBQ
276, burger
276, Chicken Strips
276, Comfort Food
276, Dinner
276, pasta
276, salad
276, Sandwich
276, Soup
276, Steak
276, Traditional American
276, wings
276, Family Meal
277,Comfort Food
277, American
277, Wing
278,Juice and Smoothies
278, Healthy
278, Dessert
279,Desserts
279, PIzza
279, Wings
279, Sandwiche
280,Coffee and Tea
280, American
280, Breakfast and Brunc
281,Ice Cream &amp; Frozen Yogurt
281, Comfort Food
281, Dessert
282,aj
283,Italian
283, Pasta
283, Comfort Foo
284,Fast Food
284, Italian
284, pizza
284, wing
285,Burgers
285, American
285, Sandwiche
286,American
286, Bar Food
286, Wings
286, Fast Food
286, Chicken
286, Family Meals
286, Exclusive to Eats
286, Comfort Foo
287,Burgers
287, American
287, Sandwiche
288,American
288, burger
288, Fast Food
288, Family Meal
289,Mexican
289, Fast Food
289, Comfort Foo
290,American
290, Fast Food
290, wings
290, Family Meal
291,American
291, burger
291, Fast Foo
292,Breakfast and Brunch
292, Bakery
292, Dessert
293,Mexican
293, Latin American
293, New Mexica
294,American
294, Burgers
294, Fast Foo
295,American
295, Fast Food
295, wing
296,Seafood
296, Fast Food
296, Fish and Chips
296, American
296, Family Meal
297,Sandwich
297, America
298,Fast Food
298, American
298, Burger
299,American
299, Sandwiches
299, Wings
299, Family Meal
300,American
300, Dessert
301,American
301, burger
301, Fast Food
301, Hot Dog
301, Sandwic
302,American
302, Chicken
302, Family Meals
302, Fried Chicken
302, Comfort Foo
303,American
303, Sandwich
303, Fast Food
303, Kids Friendl
304,American
304, Bar Food
304, BBQ
304, burger
304, Chicken Strips
304, Comfort Food
304, Dinner
304, pasta
304, salad
304, Sandwich
304, Soup
304, Steak
304, Traditional American
304, wings
304, Family Meal
305,Breakfast and Brunch
305, salad
305, Sandwich
305, Family Meals
305, Pizza
305, Healthy
305, American
305, Chicke
306,Seafood
306, American
306, Family Meal
307,Burgers
307, American
307, Sandwiches
307, Family Meal
308,iz
309,Comfort Food
309, Caribbean
309, Caju
310,Ice Cream + Frozen Yogurt
310, Desserts
310, Vegetarian
310, Vegetarian Friendly
310, Bakery
310, Health
311,American
311, Soul Food
311, Seafood
311, Black-owne
312,Fast Food
312, Sandwich
312, America
313,Indian
313, Vegetarian
313, Asian
313, Health
314,Asian
314, Desserts
314, Juice and Smoothies
314, Bubble Te
315,Bubble Tea
315, Coffee and Tea
315, Juice and Smoothie
316,Sushi
316, Mexican
316, Burrito
317,Black-owned
317, Caribbean
317, Chicke
318,Mediterranean
318, Vegetarian
318, Health
319,American
319, Sandwiches
319, Steak
319, Seafood
319, Salads
319, BBQ
319, Healthy
319, Family Friendl
320,Healthy
320, Family Meal
321,Desserts
321, Ice Cream + Frozen Yogur
322,Italian
322, Pasta
322, Comfort Food
322, Family Meal
323,Ice Cream &amp; Frozen Yogurt
323, Comfort Food
323, Dessert
324,Ice Cream &amp; Frozen Yogurt
324, Comfort Food
324, Dessert
325,Ice Cream &amp; Frozen Yogurt
325, Comfort Food
325, Dessert
326,Italian
326, Pasta
326, Comfort Foo
327,Pizza
327, Wings
327, Sandwiches
327, Desserts
327, American
327, Traditional American
327, Fast Foo
328,Ice Cream + Frozen Yogurt
328, Desserts
328, Comfort Foo
329,Healthy
329, Mexica
330,American
330, Breakfast and Brunch
330, Chicken
330, Family Meal
331,Desserts
331, Vegetarian
331, Coffee and Tea
331, Health
332,Pharmacy
332, Convenience
332, Everyday Essentials
332, Bab
333,Italian
333, Pasta
333, Comfort Foo
334,Mexican
334, Fast Food
334, Comfort Foo
335,Cafe
335, Coffee and Tea
335, Desserts
335, Baker
336,Salads
336, Sandwich
336, Deli
336, Healthy
336, Family Meal
337,andwi
338,Sandwich
338, Salads
338, Healthy
338, Family Meal
339,Sandwich
339, Del
340,Japanese
340, Asian
340, Chines
341,Thai
341, Asian
341, Noodle
342,Thai
342, Asian
342, Noodle
343,Seafood
343, Sandwiches
343, Burger
344,American
344, Seafood
344, Steak
344, Family Meal
345,Indian
345, Vegetarian
345, Indian Curry
345, Health
346,Indian
346, Vegetarian
346, Asian
346, Health
347,Indian
347, Pakistani
347, Halal
347, Vegetaria
348,Indian
348, Vegetarian
348, Halal
348, Pakistani
348, Vega
349,Indian
349, Pakistani
349, Chicken
349, Halal
349, Vegetaria
350,Mediterranean
350, Greek
350, Vegetaria
351,Japanese
351, Asian
351, Sush
352,Chinese
352, Asian
352, Asian Fusio
353,Chinese
353, Asian
353, Asian Fusio
354,Asian
354, Chicken
354, Chines
355,Japanese
355, Sushi
355, Noodle
356,Sushi
356, Asian
356, Japanes
357,Chinese
357, Asian
357, Asian Fusio
358,Asian
358, Japanese
358, Sush
359,ndi
360,Healthy
360, Sandwich
360, Greek
360, Mediterranean
360, Chicken
360, Sandwich
360, Salad
361,Chinese
361, Japanese
361, Asian
361, Asian Fusio
362,Japanese
362, Asian
362, Sush
363,Sushi
363, Asian
363, Japanes
364,Chinese
364, Asian
364, Asian Fusio
365,Chinese
365, Asian
365, Asian Fusion
365, Family Meal
366,Asian
366, Seafood
366, Asian Fusio
367,Mexican
367, Latin American
367, Taco
368,Burgers
368, American
368, Sandwiche
369,Burgers
369, American
369, Sandwiches
369, Salads
369, Health
370,American
370, Bar Food
370, Wings
370, Fast Food
370, Chicken
370, Family Meals
370, Exclusive to Eats
370, Comfort Foo
371,American
371, Burgers
371, Sandwiche
372,BBQ
372, American
372, Burger
373,Pizza
373, American
373, Italia
374,Burgers
374, American
374, Sandwiche
375,Mexican
375, Latin American
375, New Mexica
376,American
376, Burgers
376, Sandwiche
377,Mexican
377, Latin American
377, New Mexica
378,Burgers
378, American
378, Sandwiches
378, Exclusive to Eat
379,American
379, Burgers
379, Sandwiche
380,Burgers
380, American
380, Sandwiche
381,Breakfast and Brunch
381, American
381, Sandwiche
382,Burgers
382, American
382, Sandwiches
382, Dessert
383,Pizza
383, American
383, Italia
384,Indian
384, Pakistani
384, Halal
384, Vegetarian
384, Vega
385,Burgers
385, American
385, Sandwiche
386,Breakfast and Brunch
386, American
386, Sandwiche
387,Comfort Food
387, American
387, Burger
388,BBQ
388, American
388, Burger
389,Burgers
389, American
389, Sandwiche
390,Pizza
390, American
390, Italia
391,Breakfast and Brunch
391, American
391, Sandwiche
392,Breakfast and Brunch
392, American
392, Sandwiche
393,American
393, Breakfast and Brunch
393, Juice and Smoothies
393, Healthy
393, Family Meal
394,Mexican
394, Latin American
394, New Mexica
395,American
395, Healthy
395, Juice and Smoothie
396,Chinese
396, Asian
396, Asian Fusio
397,Mexican
397, Latin American
397, New Mexica
398,Pizza
398, American
398, Italia
399,Mexican
399, Latin American
399, New Mexica
400,Mexican
400, Latin American
400, New Mexica
401,American
401, Breakfast and Brunch
401, Dessert
402,Mexican
402, Latin American
402, New Mexica
403,Mexican
403, Comfort Food
403, Latin America
404,Pizza
404, Italian
404, Wing
405,American
405, Burgers
405, Sandwiche
406,American
406, Pastry
406, Dessert
407,Mediterranean
407, Greek
407, Comfort Foo
408,Mexican
408, Latin American
408, New Mexica
409,Pizza
409, American
409, Italia
410,Mexican
410, Latin American
410, Comfort Foo
411,Bakery
411, Desserts
411, Comfort Foo
412,Mexican
412, Latin American
412, New Mexica
413,American
413, Fast Food
413, Sandwic
414,Seafood
414, American
414, Souther
415,Mexican
415, Latin American
415, New Mexica
416,American
416, Chicken Strips
416, Wings
416, Chicke
417,American
417, Burgers
417, Sandwiche
418,Pizza
418, American
418, Italian
418, Sandwiche
419,Mexican
419, Latin American
419, New Mexica
420,Sandwich
420, American
420, Comfort Foo
421,Burgers
421, American
421, Sandwiche
422,American
422, Breakfast and Brunch
422, Dessert
423,American
423, Comfort Food
423, Seafoo
424,Seafood
424, American
424, Souther
425,American
425, Sandwich
425, Pastr
426,Seafood
426, American
426, Family Meal
427,American
427, Burgers
427, Wing
428,Seafood
428, Comfort Food
428, Souther
429,Latin American
429, Mexican
429, Vegetaria
430,Donuts
430, Breakfast &amp; Brunch
430, America
431,American
431, Seafoo
432,Seafood
432, Fast Food
432, Fish and Chips
432, American
432, Family Meal
433,Chicken Strips
433, Fast Food
433, Fried Chicken
433, American
433, Southern
433, Family Meal
434,American
434, Burgers
434, Fast Foo
435,American
435, Fish and Chip
436,Mexican
436, Tex Mex
436, Comfort Foo
437,American
437, Burgers
437, Wing
438,Breakfast and Brunch
438, salad
438, Sandwich
438, Healthy
438, American
438, Chicke
439,American
439, Salads
439, Chicke
440,Seafood
440, American
440, Souther
441,American
441, Bar Food
441, burger
441, Sandwiches
441, Burger
442,Ice Cream + Frozen Yogurt
442, Burgers
442, Chicken
442, America
443,Burgers
443, American
443, Sandwiche
444,American
444, Burger
445,Mexican
445, Latin American
445, New Mexica
446,Sandwiches
446, American
446, Health
447,Pizza
447, American
447, Italia
448,Burgers
448, American
448, Sandwiche
449,Steak
449, American
449, Wine
449, Health
450,Fried Chicken
450, Wings
450, Burger
451,American
451, Burgers
451, Fast Foo
452,American
452, Burgers
452, Comfort Foo
453,Comfort Food
453, American
453, Wing
454,Mexican
454, Latin American
454, Comfort Foo
455,American
455, burger
455, Fast Food
455, Family Meal
456,Burgers
456, American
456, Sandwiches
456, Family Meal
457,American
457, Family Meal
458,American
458, Comfort Foo
459,American
459, Wings
459, Salads
459, Healthy
459, Family Meal
460,American
460, Burger
461,American
461, Burger
462,Mediterranean
462, Salads
462, Kids Friendly
462, Chicke
463,Asian
463, Thai
463, Desserts
463, Family Friendl
464,Pizza
464, Desserts
464, Comfort Foo
465,American
465, Comfort Food
465, Fried Chicken
465, Family Meals
465, Sandwich
465, Family Friendl
466,American
466, Breakfast and Brunch
466, burger
466, Comfort Food
466, Dinner
466, Omelette
466, salad
466, Traditional American
466, Family Meal
467,American
467, Traditional American
467, Burgers
467, Burgers
467, Sandwich
467, Sandwiches
467, Chicken
467, Kids Friendly
467, Comfort Food
467, Desserts
467, Desserts
467, Drink
468,Burgers
468, American
468, Sandwiches
468, Steak
468, Seafood
468, Salads
468, BBQ
468, Healthy
468, Family Friendl
469,American
469, Sandwiches
469, Salads
469, Family Friendly
469, Chicke
470,Diner
470, Breakfast and Brunch
470, Burgers
470, Comfort Food
470, Family Friendl
471,Mexican
471, New Mexican
471, Vegetarian Friendl
472,American
472, Sandwich
472, Fast Food
472, Kids Friendl
473,Caribbean
473, Cajun
473, Seafoo
474,Sushi
474, Japanese
474, Asian
