id, name, fullAddress, priceRange, zipCode
89,Sugar Daddys BBQ,"1486 Minor Parkway, Birmingham, AL, 35224",$,35224
90,Carter's Seafood,"512 Reverend Abraham Woods Jr Blvd, Birmingham, AL, 35204",$,35204
91,McFly's Bird Shoppe,"1024 20th Street South, Birmingham, AL, 35205",$,35205
92,D-Icon Bar and Lounge,"4847 Richard Arrington Junior Boulevard North, Birmingham, AL, 35212",,35212
93,Little Savannah Restaurant &amp; Bar,"3811 Clairmont Ave S, Birmingham, AL, 35222",$,35222
94,Dram Whiskey Bar,"2721 Cahaba Rd, Mountain Brook, AL, 35223",$$$,35223
95,Rogue Tavern (2nd Ave N),"2312 2nd Ave N, Birmingham, AL, 35203",$$,35203
96,Zulas,"2125 Highland Ave, Birmingham, AL, 35205",$,35205
97,The Southern Kitchen &amp; Bar,"2301 Richard Arrington Jr Blvd N, Birmingham, AL, 35203",$,35203
98,Potatoe Potatohz Perfic Pizza ,"707 Richard Arrington Jr Blvd S, Birmingham, AL, 35233-2105",,35233-2105
99,Martys,"1813 10th Ct S, Birmingham, AL, 35205",$$,35205
100,KC Wings,"2501 Avenue E, Birmingham, AL, 35218",,35218
101,The Craft Burger (Downtown),"321 20th St N, Birmingham, AL, 35203",$$,35203
102,Exotic Wings &amp; Things,"2520 12th ave. N, Birmingham, AL, 35234",$,35234
103,10th Ave Deli Shark Fish and Chicken ,"4500 Richard Arrington Junior Boulevard North, Birmingham, AL, 35212",,35212
104,Power Up! Breakfast Bowls (541-B Graymont Ave),"541-B Graymont Ave, Birmingham, AL, 35204",$$,35204
105,Hot Chx Nashville Hot Chicken (541-B Graymont Ave),"541-B Graymont Ave, Birmingham, AL, 35204",$,35204
106,Taqueria La Herradura,"344 Finley Avenue West, Birmingham, AL, 35204",,35204
107,THE BACK PORCH (A CHEF RON'S PLACE),"1924 1st Avenue North, Bessemer, AL, 35020",,35020
108,Cabo Coastal Grill,"100 Frankfurt Cir Ste A, Birmingham, AL, 35211",,35211
109,Breakfast Beauties (541-B Graymont Ave),"541-B Graymont Ave, Birmingham, AL, 35204",$$,35204
110, Don't Grill My Cheese ,"541-B Graymont Ave, Birmingham, AL, 35204",$,35204
111,Post Office Pies (Avondale),,$,
112,Monita's Bakery,"1021 Main Street, Gardendale, AL, 35071",$,35071
113,The Perfect Catch Bar and Grill,"526 19th Street Ensley, Birmingham, AL, 35218",,35218
114,Tina and Ginas,"1821 2nd Avenue North, Birmingham, AL, 35203",$,35203
115,D's Tamales Togo,"258 Forest Rd, Hueytown, AL, 35023",$,35023
116,On Tap Sports Cafe (Fultondale),"1600 Main St, Fultondale, AL, 35068",$,35068
117,Tin Roof,"2709 7th Ave S, Birmingham, AL, 35233",$,35233
118,Wingout Express (1806 AVENUE V),"1806 AVENUE V, BIRMINGHAM, AL, 35218",$,35218
119,Wings Around The Clock,"801 20th St S, Birmingham, AL, 35205",$,35205
120,Taqueria Los Primos,"3133 Lorna Rd, Hoover, AL, 35216",$,35216
121,WingOut Express (14 Green Springs Highway),"14 Green Springs Highway, Birmingham, AL, 35209",$,35209
122,KJs wings and BBQ,"1159 Bankhead Highway West, Birmingham, AL, 35204",,35204
123,Top That Grille II,"1371 Bessemer Rd, Birmingham, AL, 35208",$,35208
124,Eugene's Hot Chicken,"2268 9th Ave N, Birmingham, AL, 35203",,35203
125,Big Bad Breakfast (1926 29th Ave S),"1926 29th Avenue South, Homewood, AL, 35209",$,35209
126,Urban Smoke Bar and Grill,"7100 Aaron Aronov Dr., Fairfield, AL, 35064",,35064
127,Chick-fil-A (385 Fieldstown Rd),"385 Fieldstown Rd, Gardendale, AL, 35071",$,35071
128,Michael's Steaks &amp; Seafood,"1525 1st Avenue South, Birmingham, AL, 35233",$$,35233
129,Najis Pita Gourmet Restaurant,"166 W Valley Ave, Birmingham, AL, 35209",$,35209
130,Urban Cookhouse (Birmingham),,,
131,Ruth's Chris Steak House Brimingham (2300 Woodcrest Pl),"2300 Woodcrest Pl, Birmingham, AL, 35209",$,35209
132,Ruby Sunshine (Homewood),"1017 OXMOOR ROAD, Birmingham, AL, 35209",$,35209
133,First Watch (Vestavia),"700 Montgomery Hwy, Birmingham, AL, 35216",$$,35216
134,Champs Sandwich Shop,"216 19th Street North, Bessemer, AL, 35020",,35020
135,Smoothie King (420 Greensprings Hwy),"420 Greensprings Hwy, Homewood, AL, 35209",$$,35209
136,Roly Poly (Homewood),"2910 18th Street South, Homewood, AL, 35209",,35209
137,Post Office Pies Mountain Brook,"270 Rele St, Mountain Brook, AL, 35223",$,35223
138,Ebenezer Mexican Restaurant,"10 14th Street, Bessemer, AL, 35020",,35020
139,Dunkin (300 Commons Dr),"300 Commons Dr, Birmingham, AL, 35209",$,35209
140,Good Health To Be Hail Cafe and Juice Bar,"1920 8th Ave N, Bessemer, AL, 35020",,35020
141,Pizza Passion,"6805 1st Avenue North, Birmingham, AL, 35206",$$,35206
142,The Purple Onion  (Montclair),"1545 Montclair Road, Birmingham, AL, 35210",,35210
143,Wings  R King (2802 Lakeshore),"2802 Lakeshore Parkway, Birmingham, AL, 35211",$,35211
144,Godfather's Pizza (231 State Farm Pkwy),,$$,
145,Bell Peppers,"144 River Square Plaza, Hueytown, AL, 35023",,35023
146,La Paz (Euclid Ave),"99 Euclid Ave, Birmingham, AL, 35213",,35213
147,Taqueria Juarez,"1630 Montgomery Highway, Hoover, AL, 35226",$,35226
148,Olipita Mediterranean and American Grill,"837 Park Rd, Pleasant Grove, AL, 35127",$,35127
149,Little Italy's Pizza and Pints,"1924 11th Ave S, Birmingham, AL, 35205",$,35205
150,Nothing But Noodles (Mountain Brook),"2800 Cahaba Village Plz, Mountain Brook, AL, 35243",$,35243
151,Urbano Taco -Bar,"6400 1st Ave N, Birmingham, AL, 35212",$$,35212
152,Speedy's Mexican Foods,"275 Forest Rd, Hueytown, AL, 35023",,35023
153,Market Fresh (2100 7TH AVE S),"2100 7Th Ave S, Birmingham, AL, 35233",$,35233
154,Destiny On The 1,"3030 Dartmouth Avenue, Bessemer, AL, 35020",,35020
155,Little Donkey Mexican Restaurant | Homewood,"2701 18th Street South, Birmingham, AL, 35205",$,35205
156,The Juicy Seafood,"7724 Ludington Lane, Birmingham, AL, 35210",$$,35210
157,Wasabi Juan's (Downtown),"2201 2nd Ave S Suite 105, Birmingham, AL, 35233",$,35233
158,Urban Cookhouse (Crestline),"212 Country Club Park, Mountain Brk, AL, 35213",,35213
159,Hardee's (1616 Decatur Hwy),"1616 Decatur Hwy, Fultondale, AL, 35068",$,35068
160,Dockside Charlie's (1709 Fulton Rd),"1709 Fulton Rd, Fultondale, AL, 35068",$$,35068
161,Alfredo's Pizza Cafe,"803 Green Springs Highway, 803, Homewood, AL, 35209",,35209
162,Woodbury's Food for the Soul,"4814 Main Street, Adamsville, AL, 35005",$$,35005
163,Newk's Eatery (611 Richard Arrington Jr Blvd S),"611 Richard Arrington Jr Blvd S, Birmingham, AL, 35233",$,35233
164,Cosmic Wings - 5 Points West,"2246 Bessemer Road, Birmingham, AL, 35207",$,35207
